第一部分：寂静的春天 第一章：1.疯狂年代	PARTIE I:UN PRINTEMPS SILENCIEUX CHAPITRE 1:LES ANNÉES DE FOLIE
这使得系统具有极高的灵敏度，能够接收到很微弱的讯号。	Toute l'installation procurait au système une très haute sensibilité et il était capable de recevoir des signaux très faibles.
叶文洁不禁想，如果用这套设备从事射电天文研究，那将是多么美妙的事情啊。	Wenjie ne pouvait s'empêcher de penser que si cet équipement avait été mis au service de ses recherches en radioastronomie, elle aurait obtenu des résultats fantastiques.
监听部的计算机系统也远比发射部庞大复杂，叶文洁第一次走进主机房时，看到一排阴极射线管显示屏，她惊奇地发现，屏幕上竟滚动着排排程序代码，可以通过键盘随意进行编辑和调试。	Le système informatique de l'unité de surveillance était lui aussi infiniment plus sophistiqué que celui de l'unité de transmission. La première fois qu'elle était entrée dans la salle informatique, elle avait vu une rangée d'écrans à tubes cathodiques. Elle avait découvert avec surprise que des lignes de codes de programmation défilaient sur les écrans, c'est-à-dire que les programmes informatiques étaient susceptibles d'être édités et modulés facilement grâce au clavier.
而她在大学里使用计算机时，代码都写在一张张打格的程序纸上，再通过打字机噼噼啪啪地打到纸带上。	Lorsqu'elle utilisait des ordinateurs du temps où elle était à l'université, les codes étaient d'abord écrits à la main sur des feuilles de programmation avant d'être tapés sur des rubans perforés via une machine à écrire.
她听说过从键盘和屏幕输入这回事，现在竟然真的看到了。	Elle avait entendu dire qu'on pouvait maintenant faire de la programmation directement avec un clavier et un écran, mais c'était la première fois qu'elle voyait cela.
但更令她吃惊的是这里的软件技术。	Ce qui la surprenait encore davantage, c'étaient les logiciels disponibles.
她知道了一种叫FORTRAN的东西（注：第一代计算机高级语言），竟能用接近自然语言的代码编写程序。	Elle prit connaissance d'un logiciel nommé Fortran qui permettait d'utiliser un langage de programmation proche du langage naturel et même d'entrer des équations mathématiques !
能将数学公式直接写到代码里，它的编程效率比机器码汇编不知高了多少倍。	La programmation avec le logiciel Fortran s'avérait bien plus efficace que la programmation en langage machine.
还有一种叫数据库的东西，竟能那样随心所欲地操纵海量数据。	Il existait également une chose appelée "base de données" qui permettait d'emmagasiner et de manipuler à son aise une grande quantité de données.
两天后，雷政委又找叶文洁谈话，这次是在监听部的主机房里。 在那一排闪着绿光的计算机显示器前。	Deux jours plus tard, le commissaire politique Lei retourna voir Wenjie, mais la discussion eut cette fois-ci lieu dans la salle informatique de l'unité de surveillance, devant la rangée d'écrans verts clignotants.
杨卫宁坐在距他们不远处，既不想参加他们的谈话，又不能放心离开，这令叶文洁感到很不自在。	Yang Weining s'assit non loin. Il ne participait pas à leur conversation, mais ne semblait pas non plus disposé à partir. Wenjie se sentait mal à l'aise.
雷政委说：“小叶，现在我向你说明监听部的上作内容，简单地说。	— Wenjie, dit le commissaire politique Lei, je vais t'expliquer en quoi consiste principalement le travail de l'unité de surveillance.
就是对敌人的太空活动进行监视，包括监听敌人航天器与地面和航天器间的通讯，与我航天测控部门配合，锁定敌航天器的轨道位置，为红岸系统的作战提供依据。	Pour le dire simplement, son rôle est de surveiller les mouvements ennemis dans l'espace, y compris les communications entre différents engins spatiaux et la Terre et entre les engins eux-mêmes. L'unité de surveillance travaille en collaboration avec nos centres de contrôle aérospatial pour observer la position des vaisseaux spatiaux étrangers en orbite dans l'espace. Elle fournit des données au système d'armement de la base.
可以说，是红岸的眼睛。”	Pour le dire autrement, ce sont les yeux de Côte Rouge.
杨卫宁插进来说：“雷政委，我觉得你这样不好，真的没必要对她说这些。”	Yang Weining l'interrompit : — Commissaire Lei, je trouve que ce n'est pas une bonne idée. Il n'y a aucune nécessité à lui raconter tout cela.
叶文洁看看不远处的杨卫宁，不安地说：“政委。	Wenjie observa Yang Weining assis un peu plus loin et murmura d'une voix inquiète :
如果不适宜让我了解，就……”	— Commissaire, si ce n'est pas approprié, je peux le comprendre et…
“不不，小叶，”雷政委抬起一只手制止叶文洁说下去，转身对杨卫宁说，“杨总，还是那句话，为了工作，要进一步发挥小叶的作用，她该知道的还是得知道。”	— Non, non, Wenjie. Le commissaire Lei leva la main comme pour la faire taire, puis il se tourna vers Yang Weining et déclara : — Toujours la même phrase, ingénieur en chef Yang : "C'est pour le travail". Pour que Wenjie progresse, il faut lui dire ce qu'elle doit savoir.
杨卫宁站了起来，“我要向上级汇报！”	Yang Weining se leva : — Je ferai un rapport.
“这当然是你的权利。 不过，杨总，请你放心，对这事，我负一切责任。” 雷政委平静地说。	— C'est bien sûr ton droit, mais sois certain, ingénieur en chef Yang, que j'en assumerai toute la responsabilité, dit sereinement le commissaire Lei.
杨卫宁起身悻悻地离去。	Furieux, Yang Weining tourna les talons.
“你别在意，杨总就这样，过分谨慎。	— Ne t'en fais pas, Wenjie, l'ingénieur en chef Yang est ainsi. Il est toujours trop prudent.
有时工作放不开手脚。”	Son travail l'étouffe parfois, sourit le commissaire politique en secouant la tête.
雷政委笑着摇摇头，然后直视着文洁，语气郑重起来，“小叶，最初带你来基地，目的很单纯：红岸监听系统经常受到太阳斑耀和黑子活动产生的电磁辐射的干扰，我们意外地看到了你的那篇论文，发现你对太阳活动有比较深入的研究，在国内。	Puis il regarda Wenjie dans les yeux et déclara sur un ton solennel : — Wenjie, si nous t'avons fait venir à la base, c'était au début pour une raison précise : le système de surveillance de Côte Rouge rencontre fréquemment des perturbations dues à des rayonnements électromagnétiques provoqués par des éruptions ou des taches solaires. Nous sommes par hasard tombés sur ton article et avons découvert que tu avais mené des recherches approfondies sur les activités du soleil.
你提出的预测模型是最准确的，所以就想让你协助解决这个问题。	Tu as établi ce qui est aujourd'hui en Chine le modèle de prévision le plus précis. Nous avons donc voulu faire appel à tes compétences pour nous aider à résoudre ce problème.
但你来了后，在技术上表现出了很强的工作能力。 所以我们决定让你承担更多、更重要的工作。	Mais dès ton arrivée, tu as fait preuve de grandes compétences techniques et nous avons décidé de te confier davantage de responsabilités.
我是这么打算的：让你先到发射部，再到监听部，对红岸系统有一个整体的了解和熟悉，至于以后安排什么工作，我们再研究。	Voilà quelle était mon idée : t'affecter tout d'abord à l'unité de transmission, puis à celle de surveillance, pour que tu aies une compréhension exhaustive du système de Côte Rouge. Quel sera ton prochain poste ? Nous y réfléchirons en temps voulu.
当然，你也看到了，这有阻力，但我是信任你的。	Bien entendu, comme tu l'as remarqué, certains n'y étaient pas favorables, mais j'ai personnellement choisi de te faire confiance.
小叶，这里要说明，到目前为止，这种信任还只是我个人的，希望你能努力工作，最后赢得组织上的信任。”	Wenjie, je vais être clair. Je suis aujourd'hui le seul à t'accorder ma confiance. J'espère qu'en travaillant dur tu pourras gagner celle de toute l'organisation.
雷政委把只手放到叶文洁的肩上，她感到了这只有力的手传递的温暖和力量，“小叶啊，告诉你我的一个真切的希望吧：希望有一天，能称呼你叶文洁同志。”	Le commissaire politique Lei posa sa main robuste sur l'épaule de Wenjie. Elle sentit la force et la chaleur que celle-ci lui insufflait. — Wenjie, je vais te dire ce que je souhaite réellement : j'aimerais un jour pouvoir t'appeler "camarade".
雷政委说完站起来，迈着军人的稳健步伐离去。	Après avoir prononcé ces mots, le commissaire politique se leva et s'éloigna de son pas assuré de militaire.
叶文洁的双眼盈满了泪水。 透过眼泪，屏幕上的代码变成了一团团跳动的火焰。	Les yeux de Wenjie étaient gorgés de larmes à travers lesquelles elle voyait s'afficher sur les écrans une ronde de flammes dansantes.
自父亲死后，这是她第一次流泪。	C'était la première fois qu'elle pleurait depuis la mort de son père.
叶文洁开始熟悉监听部的工作。 她很快发现，自己在这早远不如在发射部顺利，她已有的计算机知识早己落后，大部分软件技术都得从头学起。	Une fois rompue au travail dans l'unité de surveillance, elle s'aperçut vite que son efficacité était loin de celle dont elle avait fait preuve au sein de l'unité de transmission. Ses connaissances en informatique étaient dépassées et elle devait souvent apprendre le fonctionnement des logiciels à partir de zéro.
